Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
R01,2004,0 - 4,Kvinne,Hele landet,1513
R01,2004,0 - 4,Kvinne,Helseregion Midt-Norge,179
R01,2004,0 - 4,Kvinne,Helseregion Nord-Norge,68
R01,2004,0 - 4,Kvinne,Helseregion Sør-Øst,927
R01,2004,0 - 4,Kvinne,Helseregion Vest,339
R01,2004,0 - 4,Kvinne,Akershus,252
R01,2004,0 - 4,Kvinne,Aust-Agder,40
R01,2004,0 - 4,Kvinne,Buskerud,61
R01,2004,0 - 4,Kvinne,Finnmark,11
R01,2004,0 - 4,Kvinne,Hedmark,65
R01,2004,0 - 4,Kvinne,Hordaland,207
R01,2004,0 - 4,Kvinne,Møre og Romsdal,53
R01,2004,0 - 4,Kvinne,Nordland,41
R01,2004,0 - 4,Kvinne,Oppland,40
R01,2004,0 - 4,Kvinne,Oslo,276
R01,2004,0 - 4,Kvinne,Rogaland,106
R01,2004,0 - 4,Kvinne,Sogn og Fjordane,26
R01,2004,0 - 4,Kvinne,Telemark,50
R01,2004,0 - 4,Kvinne,Troms,16
R01,2004,0 - 4,Kvinne,Trøndelag,126
R01,2004,0 - 4,Kvinne,Vest-Agder,49
R01,2004,0 - 4,Kvinne,Vestfold,47
R01,2004,0 - 4,Kvinne,Østfold,47
R01,2004,0 - 4,Mann,Hele landet,2225
R01,2004,0 - 4,Mann,Helseregion Midt-Norge,295
R01,2004,0 - 4,Mann,Helseregion Nord-Norge,110
R01,2004,0 - 4,Mann,Helseregion Sør-Øst,1349
R01,2004,0 - 4,Mann,Helseregion Vest,471
R01,2004,0 - 4,Mann,Akershus,340
R01,2004,0 - 4,Mann,Aust-Agder,36
R01,2004,0 - 4,Mann,Buskerud,90
R01,2004,0 - 4,Mann,Finnmark,18
R01,2004,0 - 4,Mann,Hedmark,90
R01,2004,0 - 4,Mann,Hordaland,251
R01,2004,0 - 4,Mann,Møre og Romsdal,92
R01,2004,0 - 4,Mann,Nordland,63
R01,2004,0 - 4,Mann,Oppland,68
R01,2004,0 - 4,Mann,Oslo,439
R01,2004,0 - 4,Mann,Rogaland,157
R01,2004,0 - 4,Mann,Sogn og Fjordane,63
R01,2004,0 - 4,Mann,Telemark,82
R01,2004,0 - 4,Mann,Troms,29
R01,2004,0 - 4,Mann,Trøndelag,203
R01,2004,0 - 4,Mann,Vest-Agder,57
R01,2004,0 - 4,Mann,Vestfold,67
R01,2004,0 - 4,Mann,Østfold,80
R01,2004,5 - 9,Kvinne,Hele landet,3240
R01,2004,5 - 9,Kvinne,Helseregion Midt-Norge,487
R01,2004,5 - 9,Kvinne,Helseregion Nord-Norge,203
R01,2004,5 - 9,Kvinne,Helseregion Sør-Øst,1826
R01,2004,5 - 9,Kvinne,Helseregion Vest,724
R01,2004,5 - 9,Kvinne,Akershus,484
R01,2004,5 - 9,Kvinne,Aust-Agder,74
R01,2004,5 - 9,Kvinne,Buskerud,153
R01,2004,5 - 9,Kvinne,Finnmark,39
R01,2004,5 - 9,Kvinne,Hedmark,121
R01,2004,5 - 9,Kvinne,Hordaland,380
R01,2004,5 - 9,Kvinne,Møre og Romsdal,196
R01,2004,5 - 9,Kvinne,Nordland,96
R01,2004,5 - 9,Kvinne,Oppland,115
R01,2004,5 - 9,Kvinne,Oslo,400
