Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
R07,2004,0 - 4,Kvinne,Hele landet,0
R07,2004,0 - 4,Kvinne,Helseregion Midt-Norge,0
R07,2004,0 - 4,Kvinne,Helseregion Nord-Norge,0
R07,2004,0 - 4,Kvinne,Helseregion Sør-Øst,0
R07,2004,0 - 4,Kvinne,Helseregion Vest,0
R07,2004,0 - 4,Kvinne,Akershus,0
R07,2004,0 - 4,Kvinne,Aust-Agder,0
R07,2004,0 - 4,Kvinne,Buskerud,0
R07,2004,0 - 4,Kvinne,Finnmark,0
R07,2004,0 - 4,Kvinne,Hedmark,0
R07,2004,0 - 4,Kvinne,Hordaland,0
R07,2004,0 - 4,Kvinne,Møre og Romsdal,0
R07,2004,0 - 4,Kvinne,Nordland,0
R07,2004,0 - 4,Kvinne,Oppland,0
R07,2004,0 - 4,Kvinne,Oslo,0
R07,2004,0 - 4,Kvinne,Rogaland,0
R07,2004,0 - 4,Kvinne,Sogn og Fjordane,0
R07,2004,0 - 4,Kvinne,Telemark,0
R07,2004,0 - 4,Kvinne,Troms,0
R07,2004,0 - 4,Kvinne,Trøndelag,0
R07,2004,0 - 4,Kvinne,Vest-Agder,0
R07,2004,0 - 4,Kvinne,Vestfold,0
R07,2004,0 - 4,Kvinne,Østfold,0
R07,2004,0 - 4,Mann,Hele landet,0
R07,2004,0 - 4,Mann,Helseregion Midt-Norge,0
R07,2004,0 - 4,Mann,Helseregion Nord-Norge,0
R07,2004,0 - 4,Mann,Helseregion Sør-Øst,0
R07,2004,0 - 4,Mann,Helseregion Vest,0
R07,2004,0 - 4,Mann,Akershus,0
R07,2004,0 - 4,Mann,Aust-Agder,0
R07,2004,0 - 4,Mann,Buskerud,0
R07,2004,0 - 4,Mann,Finnmark,0
R07,2004,0 - 4,Mann,Hedmark,0
R07,2004,0 - 4,Mann,Hordaland,0
R07,2004,0 - 4,Mann,Møre og Romsdal,0
R07,2004,0 - 4,Mann,Nordland,0
R07,2004,0 - 4,Mann,Oppland,0
R07,2004,0 - 4,Mann,Oslo,0
R07,2004,0 - 4,Mann,Rogaland,0
R07,2004,0 - 4,Mann,Sogn og Fjordane,0
R07,2004,0 - 4,Mann,Telemark,0
R07,2004,0 - 4,Mann,Troms,0
R07,2004,0 - 4,Mann,Trøndelag,0
R07,2004,0 - 4,Mann,Vest-Agder,0
R07,2004,0 - 4,Mann,Vestfold,0
R07,2004,0 - 4,Mann,Østfold,0
R07,2004,5 - 9,Kvinne,Hele landet,0
R07,2004,5 - 9,Kvinne,Helseregion Midt-Norge,0
R07,2004,5 - 9,Kvinne,Helseregion Nord-Norge,0
R07,2004,5 - 9,Kvinne,Helseregion Sør-Øst,0
R07,2004,5 - 9,Kvinne,Helseregion Vest,0
R07,2004,5 - 9,Kvinne,Akershus,0
R07,2004,5 - 9,Kvinne,Aust-Agder,0
R07,2004,5 - 9,Kvinne,Buskerud,0
R07,2004,5 - 9,Kvinne,Finnmark,0
R07,2004,5 - 9,Kvinne,Hedmark,0
R07,2004,5 - 9,Kvinne,Hordaland,0
R07,2004,5 - 9,Kvinne,Møre og Romsdal,0
R07,2004,5 - 9,Kvinne,Nordland,0
R07,2004,5 - 9,Kvinne,Oppland,0
R07,2004,5 - 9,Kvinne,Oslo,0
R07,2004,5 - 9,Kvinne,Rogaland,0
R07,2004,5 - 9,Kvinne,Sogn og Fjordane,0
R07,2004,5 - 9,Kvinne,Telemark,0
R07,2004,5 - 9,Kvinne,Troms,0
R07,2004,5 - 9,Kvinne,Trøndelag,0
R07,2004,5 - 9,Kvinne,Vest-Agder,0
R07,2004,5 - 9,Kvinne,Vestfold,0
R07,2004,5 - 9,Kvinne,Østfold,0
R07,2004,5 - 9,Mann,Hele landet,0
R07,2004,5 - 9,Mann,Helseregion Midt-Norge,0
R07,2004,5 - 9,Mann,Helseregion Nord-Norge,0
R07,2004,5 - 9,Mann,Helseregion Sør-Øst,0
R07,2004,5 - 9,Mann,Helseregion Vest,0
R07,2004,5 - 9,Mann,Akershus,0
R07,2004,5 - 9,Mann,Aust-Agder,0
R07,2004,5 - 9,Mann,Buskerud,0
R07,2004,5 - 9,Mann,Finnmark,0
R07,2004,5 - 9,Mann,Hedmark,0
R07,2004,5 - 9,Mann,Hordaland,0
R07,2004,5 - 9,Mann,Møre og Romsdal,0
R07,2004,5 - 9,Mann,Nordland,0
R07,2004,5 - 9,Mann,Oppland,0
R07,2004,5 - 9,Mann,Oslo,0
R07,2004,5 - 9,Mann,Rogaland,0
R07,2004,5 - 9,Mann,Sogn og Fjordane,0
R07,2004,5 - 9,Mann,Telemark,0
R07,2004,5 - 9,Mann,Troms,0
R07,2004,5 - 9,Mann,Trøndelag,0
R07,2004,5 - 9,Mann,Vest-Agder,0
R07,2004,5 - 9,Mann,Vestfold,0
R07,2004,5 - 9,Mann,Østfold,0
R07,2004,10 - 14,Kvinne,Hele landet,0
R07,2004,10 - 14,Kvinne,Helseregion Midt-Norge,0
R07,2004,10 - 14,Kvinne,Helseregion Nord-Norge,0
R07,2004,10 - 14,Kvinne,Helseregion Sør-Øst,0
R07,2004,10 - 14,Kvinne,Helseregion Vest,0
R07,2004,10 - 14,Kvinne,Akershus,0
R07,2004,10 - 14,Kvinne,Aust-Agder,0
R07,2004,10 - 14,Kvinne,Buskerud,0
R07,2004,10 - 14,Kvinne,Finnmark,0
R07,2004,10 - 14,Kvinne,Hedmark,0
R07,2004,10 - 14,Kvinne,Hordaland,0
R07,2004,10 - 14,Kvinne,Møre og Romsdal,0
R07,2004,10 - 14,Kvinne,Nordland,0
R07,2004,10 - 14,Kvinne,Oppland,0
R07,2004,10 - 14,Kvinne,Oslo,0
R07,2004,10 - 14,Kvinne,Rogaland,0
R07,2004,10 - 14,Kvinne,Sogn og Fjordane,0
R07,2004,10 - 14,Kvinne,Telemark,0
R07,2004,10 - 14,Kvinne,Troms,0
R07,2004,10 - 14,Kvinne,Trøndelag,0
R07,2004,10 - 14,Kvinne,Vest-Agder,0
R07,2004,10 - 14,Kvinne,Vestfold,0
R07,2004,10 - 14,Kvinne,Østfold,0
R07,2004,10 - 14,Mann,Hele landet,0
R07,2004,10 - 14,Mann,Helseregion Midt-Norge,0
R07,2004,10 - 14,Mann,Helseregion Nord-Norge,0
R07,2004,10 - 14,Mann,Helseregion Sør-Øst,0
R07,2004,10 - 14,Mann,Helseregion Vest,0
R07,2004,10 - 14,Mann,Akershus,0
R07,2004,10 - 14,Mann,Aust-Agder,0
R07,2004,10 - 14,Mann,Buskerud,0
R07,2004,10 - 14,Mann,Finnmark,0
R07,2004,10 - 14,Mann,Hedmark,0
R07,2004,10 - 14,Mann,Hordaland,0
R07,2004,10 - 14,Mann,Møre og Romsdal,0
R07,2004,10 - 14,Mann,Nordland,0
R07,2004,10 - 14,Mann,Oppland,0
R07,2004,10 - 14,Mann,Oslo,0
R07,2004,10 - 14,Mann,Rogaland,0
R07,2004,10 - 14,Mann,Sogn og Fjordane,0
R07,2004,10 - 14,Mann,Telemark,0
R07,2004,10 - 14,Mann,Troms,0
R07,2004,10 - 14,Mann,Trøndelag,0
R07,2004,10 - 14,Mann,Vest-Agder,0
R07,2004,10 - 14,Mann,Vestfold,0
R07,2004,10 - 14,Mann,Østfold,0
R07,2004,15 - 19,Kvinne,Hele landet,0
R07,2004,15 - 19,Kvinne,Helseregion Midt-Norge,0
R07,2004,15 - 19,Kvinne,Helseregion Nord-Norge,0
R07,2004,15 - 19,Kvinne,Helseregion Sør-Øst,0
R07,2004,15 - 19,Kvinne,Helseregion Vest,0
R07,2004,15 - 19,Kvinne,Akershus,0
R07,2004,15 - 19,Kvinne,Aust-Agder,0
R07,2004,15 - 19,Kvinne,Buskerud,0
R07,2004,15 - 19,Kvinne,Finnmark,0
R07,2004,15 - 19,Kvinne,Hedmark,0
R07,2004,15 - 19,Kvinne,Hordaland,0
R07,2004,15 - 19,Kvinne,Møre og Romsdal,0
R07,2004,15 - 19,Kvinne,Nordland,0
R07,2004,15 - 19,Kvinne,Oppland,0
R07,2004,15 - 19,Kvinne,Oslo,0
R07,2004,15 - 19,Kvinne,Rogaland,0
R07,2004,15 - 19,Kvinne,Sogn og Fjordane,0
R07,2004,15 - 19,Kvinne,Telemark,0
R07,2004,15 - 19,Kvinne,Troms,0
R07,2004,15 - 19,Kvinne,Trøndelag,0
R07,2004,15 - 19,Kvinne,Vest-Agder,0
R07,2004,15 - 19,Kvinne,Vestfold,0
R07,2004,15 - 19,Kvinne,Østfold,0
R07,2004,15 - 19,Mann,Hele landet,0
R07,2004,15 - 19,Mann,Helseregion Midt-Norge,0
R07,2004,15 - 19,Mann,Helseregion Nord-Norge,0
R07,2004,15 - 19,Mann,Helseregion Sør-Øst,0
R07,2004,15 - 19,Mann,Helseregion Vest,0
R07,2004,15 - 19,Mann,Akershus,0
R07,2004,15 - 19,Mann,Aust-Agder,0
R07,2004,15 - 19,Mann,Buskerud,0
R07,2004,15 - 19,Mann,Finnmark,0
R07,2004,15 - 19,Mann,Hedmark,0
R07,2004,15 - 19,Mann,Hordaland,0
R07,2004,15 - 19,Mann,Møre og Romsdal,0
R07,2004,15 - 19,Mann,Nordland,0
R07,2004,15 - 19,Mann,Oppland,0
R07,2004,15 - 19,Mann,Oslo,0
R07,2004,15 - 19,Mann,Rogaland,0
R07,2004,15 - 19,Mann,Sogn og Fjordane,0
R07,2004,15 - 19,Mann,Telemark,0
R07,2004,15 - 19,Mann,Troms,0
R07,2004,15 - 19,Mann,Trøndelag,0
R07,2004,15 - 19,Mann,Vest-Agder,0
R07,2004,15 - 19,Mann,Vestfold,0
R07,2004,15 - 19,Mann,Østfold,0
R07,2004,20 - 24,Kvinne,Hele landet,0
R07,2004,20 - 24,Kvinne,Helseregion Midt-Norge,0
R07,2004,20 - 24,Kvinne,Helseregion Nord-Norge,0
R07,2004,20 - 24,Kvinne,Helseregion Sør-Øst,0
R07,2004,20 - 24,Kvinne,Helseregion Vest,0
R07,2004,20 - 24,Kvinne,Akershus,0
R07,2004,20 - 24,Kvinne,Aust-Agder,0
R07,2004,20 - 24,Kvinne,Buskerud,0
R07,2004,20 - 24,Kvinne,Finnmark,0
R07,2004,20 - 24,Kvinne,Hedmark,0
R07,2004,20 - 24,Kvinne,Hordaland,0
R07,2004,20 - 24,Kvinne,Møre og Romsdal,0
R07,2004,20 - 24,Kvinne,Nordland,0
R07,2004,20 - 24,Kvinne,Oppland,0
R07,2004,20 - 24,Kvinne,Oslo,0
R07,2004,20 - 24,Kvinne,Rogaland,0
R07,2004,20 - 24,Kvinne,Sogn og Fjordane,0
R07,2004,20 - 24,Kvinne,Telemark,0
R07,2004,20 - 24,Kvinne,Troms,0
R07,2004,20 - 24,Kvinne,Trøndelag,0
R07,2004,20 - 24,Kvinne,Vest-Agder,0
R07,2004,20 - 24,Kvinne,Vestfold,0
R07,2004,20 - 24,Kvinne,Østfold,0
R07,2004,20 - 24,Mann,Hele landet,0
R07,2004,20 - 24,Mann,Helseregion Midt-Norge,0
R07,2004,20 - 24,Mann,Helseregion Nord-Norge,0
R07,2004,20 - 24,Mann,Helseregion Sør-Øst,0
R07,2004,20 - 24,Mann,Helseregion Vest,0
R07,2004,20 - 24,Mann,Akershus,0
R07,2004,20 - 24,Mann,Aust-Agder,0
