Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
R06,2004,0 - 4,Kvinne,Hele landet,8472
R06,2004,0 - 4,Kvinne,Helseregion Midt-Norge,1004
R06,2004,0 - 4,Kvinne,Helseregion Nord-Norge,740
R06,2004,0 - 4,Kvinne,Helseregion Sør-Øst,5110
R06,2004,0 - 4,Kvinne,Helseregion Vest,1618
R06,2004,0 - 4,Kvinne,Akershus,1231
R06,2004,0 - 4,Kvinne,Aust-Agder,144
R06,2004,0 - 4,Kvinne,Buskerud,436
R06,2004,0 - 4,Kvinne,Finnmark,162
R06,2004,0 - 4,Kvinne,Hedmark,297
R06,2004,0 - 4,Kvinne,Hordaland,757
R06,2004,0 - 4,Kvinne,Møre og Romsdal,415
R06,2004,0 - 4,Kvinne,Nordland,328
R06,2004,0 - 4,Kvinne,Oppland,307
R06,2004,0 - 4,Kvinne,Oslo,1286
R06,2004,0 - 4,Kvinne,Rogaland,691
R06,2004,0 - 4,Kvinne,Sogn og Fjordane,170
R06,2004,0 - 4,Kvinne,Telemark,340
R06,2004,0 - 4,Kvinne,Troms,250
R06,2004,0 - 4,Kvinne,Trøndelag,589
R06,2004,0 - 4,Kvinne,Vest-Agder,285
R06,2004,0 - 4,Kvinne,Vestfold,392
R06,2004,0 - 4,Kvinne,Østfold,392
R06,2004,0 - 4,Mann,Hele landet,11060
R06,2004,0 - 4,Mann,Helseregion Midt-Norge,1448
R06,2004,0 - 4,Mann,Helseregion Nord-Norge,874
R06,2004,0 - 4,Mann,Helseregion Sør-Øst,6556
R06,2004,0 - 4,Mann,Helseregion Vest,2182
R06,2004,0 - 4,Mann,Akershus,1515
R06,2004,0 - 4,Mann,Aust-Agder,205
R06,2004,0 - 4,Mann,Buskerud,619
R06,2004,0 - 4,Mann,Finnmark,185
R06,2004,0 - 4,Mann,Hedmark,373
R06,2004,0 - 4,Mann,Hordaland,1002
R06,2004,0 - 4,Mann,Møre og Romsdal,542
R06,2004,0 - 4,Mann,Nordland,400
R06,2004,0 - 4,Mann,Oppland,394
R06,2004,0 - 4,Mann,Oslo,1557
R06,2004,0 - 4,Mann,Rogaland,927
R06,2004,0 - 4,Mann,Sogn og Fjordane,253
R06,2004,0 - 4,Mann,Telemark,428
R06,2004,0 - 4,Mann,Troms,289
R06,2004,0 - 4,Mann,Trøndelag,906
R06,2004,0 - 4,Mann,Vest-Agder,386
R06,2004,0 - 4,Mann,Vestfold,521
R06,2004,0 - 4,Mann,Østfold,558
R06,2004,5 - 9,Kvinne,Hele landet,9423
R06,2004,5 - 9,Kvinne,Helseregion Midt-Norge,1411
R06,2004,5 - 9,Kvinne,Helseregion Nord-Norge,900
R06,2004,5 - 9,Kvinne,Helseregion Sør-Øst,5128
R06,2004,5 - 9,Kvinne,Helseregion Vest,1984
R06,2004,5 - 9,Kvinne,Akershus,1208
R06,2004,5 - 9,Kvinne,Aust-Agder,197
R06,2004,5 - 9,Kvinne,Buskerud,495
R06,2004,5 - 9,Kvinne,Finnmark,160
R06,2004,5 - 9,Kvinne,Hedmark,361
R06,2004,5 - 9,Kvinne,Hordaland,968
R06,2004,5 - 9,Kvinne,Møre og Romsdal,542
R06,2004,5 - 9,Kvinne,Nordland,436
R06,2004,5 - 9,Kvinne,Oppland,354
R06,2004,5 - 9,Kvinne,Oslo,942
R06,2004,5 - 9,Kvinne,Rogaland,764
R06,2004,5 - 9,Kvinne,Sogn og Fjordane,252
R06,2004,5 - 9,Kvinne,Telemark,259
R06,2004,5 - 9,Kvinne,Troms,304
R06,2004,5 - 9,Kvinne,Trøndelag,869
R06,2004,5 - 9,Kvinne,Vest-Agder,331
R06,2004,5 - 9,Kvinne,Vestfold,492
R06,2004,5 - 9,Kvinne,Østfold,489
R06,2004,5 - 9,Mann,Hele landet,13749
R06,2004,5 - 9,Mann,Helseregion Midt-Norge,2149
R06,2004,5 - 9,Mann,Helseregion Nord-Norge,1368
R06,2004,5 - 9,Mann,Helseregion Sør-Øst,7303
R06,2004,5 - 9,Mann,Helseregion Vest,2929
R06,2004,5 - 9,Mann,Akershus,1648
R06,2004,5 - 9,Mann,Aust-Agder,274
R06,2004,5 - 9,Mann,Buskerud,715
R06,2004,5 - 9,Mann,Finnmark,251
R06,2004,5 - 9,Mann,Hedmark,617
R06,2004,5 - 9,Mann,Hordaland,1387
R06,2004,5 - 9,Mann,Møre og Romsdal,812
R06,2004,5 - 9,Mann,Nordland,703
R06,2004,5 - 9,Mann,Oppland,534
R06,2004,5 - 9,Mann,Oslo,1307
R06,2004,5 - 9,Mann,Rogaland,1195
R06,2004,5 - 9,Mann,Sogn og Fjordane,347
R06,2004,5 - 9,Mann,Telemark,414
R06,2004,5 - 9,Mann,Troms,414
R06,2004,5 - 9,Mann,Trøndelag,1337
R06,2004,5 - 9,Mann,Vest-Agder,442
R06,2004,5 - 9,Mann,Vestfold,673
R06,2004,5 - 9,Mann,Østfold,679
R06,2004,10 - 14,Kvinne,Hele landet,11120
R06,2004,10 - 14,Kvinne,Helseregion Midt-Norge,1733
R06,2004,10 - 14,Kvinne,Helseregion Nord-Norge,1104
R06,2004,10 - 14,Kvinne,Helseregion Sør-Øst,5871
R06,2004,10 - 14,Kvinne,Helseregion Vest,2412
R06,2004,10 - 14,Kvinne,Akershus,1354
R06,2004,10 - 14,Kvinne,Aust-Agder,224
R06,2004,10 - 14,Kvinne,Buskerud,571
R06,2004,10 - 14,Kvinne,Finnmark,202
R06,2004,10 - 14,Kvinne,Hedmark,532
R06,2004,10 - 14,Kvinne,Hordaland,1114
R06,2004,10 - 14,Kvinne,Møre og Romsdal,675
R06,2004,10 - 14,Kvinne,Nordland,568
R06,2004,10 - 14,Kvinne,Oppland,473
R06,2004,10 - 14,Kvinne,Oslo,923
R06,2004,10 - 14,Kvinne,Rogaland,988
R06,2004,10 - 14,Kvinne,Sogn og Fjordane,310
R06,2004,10 - 14,Kvinne,Telemark,333
R06,2004,10 - 14,Kvinne,Troms,334
R06,2004,10 - 14,Kvinne,Trøndelag,1058
R06,2004,10 - 14,Kvinne,Vest-Agder,374
R06,2004,10 - 14,Kvinne,Vestfold,532
R06,2004,10 - 14,Kvinne,Østfold,555
R06,2004,10 - 14,Mann,Hele landet,15810
R06,2004,10 - 14,Mann,Helseregion Midt-Norge,2463
R06,2004,10 - 14,Mann,Helseregion Nord-Norge,1587
R06,2004,10 - 14,Mann,Helseregion Sør-Øst,8172
R06,2004,10 - 14,Mann,Helseregion Vest,3588
R06,2004,10 - 14,Mann,Akershus,1887
R06,2004,10 - 14,Mann,Aust-Agder,337
R06,2004,10 - 14,Mann,Buskerud,766
R06,2004,10 - 14,Mann,Finnmark,256
R06,2004,10 - 14,Mann,Hedmark,706
R06,2004,10 - 14,Mann,Hordaland,1731
R06,2004,10 - 14,Mann,Møre og Romsdal,941
R06,2004,10 - 14,Mann,Nordland,846
R06,2004,10 - 14,Mann,Oppland,651
R06,2004,10 - 14,Mann,Oslo,1273
R06,2004,10 - 14,Mann,Rogaland,1425
R06,2004,10 - 14,Mann,Sogn og Fjordane,432
R06,2004,10 - 14,Mann,Telemark,500
R06,2004,10 - 14,Mann,Troms,485
R06,2004,10 - 14,Mann,Trøndelag,1522
R06,2004,10 - 14,Mann,Vest-Agder,520
R06,2004,10 - 14,Mann,Vestfold,768
R06,2004,10 - 14,Mann,Østfold,764
R06,2004,15 - 19,Kvinne,Hele landet,14214
R06,2004,15 - 19,Kvinne,Helseregion Midt-Norge,2282
R06,2004,15 - 19,Kvinne,Helseregion Nord-Norge,1435
R06,2004,15 - 19,Kvinne,Helseregion Sør-Øst,7406
R06,2004,15 - 19,Kvinne,Helseregion Vest,3091
R06,2004,15 - 19,Kvinne,Akershus,1641
R06,2004,15 - 19,Kvinne,Aust-Agder,351
R06,2004,15 - 19,Kvinne,Buskerud,738
R06,2004,15 - 19,Kvinne,Finnmark,245
R06,2004,15 - 19,Kvinne,Hedmark,623
R06,2004,15 - 19,Kvinne,Hordaland,1414
R06,2004,15 - 19,Kvinne,Møre og Romsdal,914
R06,2004,15 - 19,Kvinne,Nordland,727
R06,2004,15 - 19,Kvinne,Oppland,551
R06,2004,15 - 19,Kvinne,Oslo,1160
R06,2004,15 - 19,Kvinne,Rogaland,1297
R06,2004,15 - 19,Kvinne,Sogn og Fjordane,380
R06,2004,15 - 19,Kvinne,Telemark,451
R06,2004,15 - 19,Kvinne,Troms,463
R06,2004,15 - 19,Kvinne,Trøndelag,1368
R06,2004,15 - 19,Kvinne,Vest-Agder,476
R06,2004,15 - 19,Kvinne,Vestfold,692
R06,2004,15 - 19,Kvinne,Østfold,723
R06,2004,15 - 19,Mann,Hele landet,13730
R06,2004,15 - 19,Mann,Helseregion Midt-Norge,2222
R06,2004,15 - 19,Mann,Helseregion Nord-Norge,1491
R06,2004,15 - 19,Mann,Helseregion Sør-Øst,7068
R06,2004,15 - 19,Mann,Helseregion Vest,2949
R06,2004,15 - 19,Mann,Akershus,1612
R06,2004,15 - 19,Mann,Aust-Agder,299
R06,2004,15 - 19,Mann,Buskerud,695
R06,2004,15 - 19,Mann,Finnmark,214
R06,2004,15 - 19,Mann,Hedmark,530
R06,2004,15 - 19,Mann,Hordaland,1341
R06,2004,15 - 19,Mann,Møre og Romsdal,900
R06,2004,15 - 19,Mann,Nordland,823
R06,2004,15 - 19,Mann,Oppland,548
R06,2004,15 - 19,Mann,Oslo,1164
R06,2004,15 - 19,Mann,Rogaland,1244
R06,2004,15 - 19,Mann,Sogn og Fjordane,364
R06,2004,15 - 19,Mann,Telemark,457
R06,2004,15 - 19,Mann,Troms,454
R06,2004,15 - 19,Mann,Trøndelag,1322
R06,2004,15 - 19,Mann,Vest-Agder,476
R06,2004,15 - 19,Mann,Vestfold,630
R06,2004,15 - 19,Mann,Østfold,657
R06,2004,20 - 24,Kvinne,Hele landet,15825
R06,2004,20 - 24,Kvinne,Helseregion Midt-Norge,2348
R06,2004,20 - 24,Kvinne,Helseregion Nord-Norge,1583
R06,2004,20 - 24,Kvinne,Helseregion Sør-Øst,8472
R06,2004,20 - 24,Kvinne,Helseregion Vest,3422
R06,2004,20 - 24,Kvinne,Akershus,1696
R06,2004,20 - 24,Kvinne,Aust-Agder,360
R06,2004,20 - 24,Kvinne,Buskerud,815
R06,2004,20 - 24,Kvinne,Finnmark,262
R06,2004,20 - 24,Kvinne,Hedmark,672
R06,2004,20 - 24,Kvinne,Hordaland,1601
R06,2004,20 - 24,Kvinne,Møre og Romsdal,1002
R06,2004,20 - 24,Kvinne,Nordland,833
R06,2004,20 - 24,Kvinne,Oppland,563
R06,2004,20 - 24,Kvinne,Oslo,1604
R06,2004,20 - 24,Kvinne,Rogaland,1434
R06,2004,20 - 24,Kvinne,Sogn og Fjordane,387
R06,2004,20 - 24,Kvinne,Telemark,540
R06,2004,20 - 24,Kvinne,Troms,488
R06,2004,20 - 24,Kvinne,Trøndelag,1346
R06,2004,20 - 24,Kvinne,Vest-Agder,598
R06,2004,20 - 24,Kvinne,Vestfold,750
R06,2004,20 - 24,Kvinne,Østfold,874
R06,2004,20 - 24,Mann,Hele landet,11429
R06,2004,20 - 24,Mann,Helseregion Midt-Norge,1797
R06,2004,20 - 24,Mann,Helseregion Nord-Norge,1142
R06,2004,20 - 24,Mann,Helseregion Sør-Øst,6011
R06,2004,20 - 24,Mann,Helseregion Vest,2479
R06,2004,20 - 24,Mann,Akershus,1227
R06,2004,20 - 24,Mann,Aust-Agder,279
R06,2004,20 - 24,Mann,Buskerud,598
R06,2004,20 - 24,Mann,Finnmark,167
R06,2004,20 - 24,Mann,Hedmark,421
R06,2004,20 - 24,Mann,Hordaland,1202
R06,2004,20 - 24,Mann,Møre og Romsdal,808
R06,2004,20 - 24,Mann,Nordland,592
R06,2004,20 - 24,Mann,Oppland,487
R06,2004,20 - 24,Mann,Oslo,1052
R06,2004,20 - 24,Mann,Rogaland,967
R06,2004,20 - 24,Mann,Sogn og Fjordane,310
R06,2004,20 - 24,Mann,Telemark,392
R06,2004,20 - 24,Mann,Troms,383
R06,2004,20 - 24,Mann,Trøndelag,989
R06,2004,20 - 24,Mann,Vest-Agder,432
R06,2004,20 - 24,Mann,Vestfold,564
R06,2004,20 - 24,Mann,Østfold,559
R06,2004,25 - 29,Kvinne,Hele landet,17692
R06,2004,25 - 29,Kvinne,Helseregion Midt-Norge,2228
R06,2004,25 - 29,Kvinne,Helseregion Nord-Norge,1480
R06,2004,25 - 29,Kvinne,Helseregion Sør-Øst,10439
R06,2004,25 - 29,Kvinne,Helseregion Vest,3545
R06,2004,25 - 29,Kvinne,Akershus,1727
R06,2004,25 - 29,Kvinne,Aust-Agder,354
R06,2004,25 - 29,Kvinne,Buskerud,956
R06,2004,25 - 29,Kvinne,Finnmark,249
R06,2004,25 - 29,Kvinne,Hedmark,605
R06,2004,25 - 29,Kvinne,Hordaland,1780
R06,2004,25 - 29,Kvinne,Møre og Romsdal,868
R06,2004,25 - 29,Kvinne,Nordland,730
R06,2004,25 - 29,Kvinne,Oppland,545
R06,2004,25 - 29,Kvinne,Oslo,3281
R06,2004,25 - 29,Kvinne,Rogaland,1445
R06,2004,25 - 29,Kvinne,Sogn og Fjordane,320
R06,2004,25 - 29,Kvinne,Telemark,558
R06,2004,25 - 29,Kvinne,Troms,501
R06,2004,25 - 29,Kvinne,Trøndelag,1360
R06,2004,25 - 29,Kvinne,Vest-Agder,644
R06,2004,25 - 29,Kvinne,Vestfold,827
R06,2004,25 - 29,Kvinne,Østfold,942
R06,2004,25 - 29,Mann,Hele landet,13303
R06,2004,25 - 29,Mann,Helseregion Midt-Norge,1873
R06,2004,25 - 29,Mann,Helseregion Nord-Norge,1090
R06,2004,25 - 29,Mann,Helseregion Sør-Øst,7673
R06,2004,25 - 29,Mann,Helseregion Vest,2667
R06,2004,25 - 29,Mann,Akershus,1313
R06,2004,25 - 29,Mann,Aust-Agder,280
R06,2004,25 - 29,Mann,Buskerud,632
R06,2004,25 - 29,Mann,Finnmark,186
R06,2004,25 - 29,Mann,Hedmark,502
R06,2004,25 - 29,Mann,Hordaland,1271
R06,2004,25 - 29,Mann,Møre og Romsdal,677
R06,2004,25 - 29,Mann,Nordland,561
R06,2004,25 - 29,Mann,Oppland,436
R06,2004,25 - 29,Mann,Oslo,2270
R06,2004,25 - 29,Mann,Rogaland,1138
R06,2004,25 - 29,Mann,Sogn og Fjordane,258
R06,2004,25 - 29,Mann,Telemark,416
R06,2004,25 - 29,Mann,Troms,343
R06,2004,25 - 29,Mann,Trøndelag,1196
R06,2004,25 - 29,Mann,Vest-Agder,483
R06,2004,25 - 29,Mann,Vestfold,604
R06,2004,25 - 29,Mann,Østfold,737
R06,2004,30 - 34,Kvinne,Hele landet,21027
R06,2004,30 - 34,Kvinne,Helseregion Midt-Norge,2537
R06,2004,30 - 34,Kvinne,Helseregion Nord-Norge,1836
R06,2004,30 - 34,Kvinne,Helseregion Sør-Øst,12752
R06,2004,30 - 34,Kvinne,Helseregion Vest,3902
R06,2004,30 - 34,Kvinne,Akershus,2372
R06,2004,30 - 34,Kvinne,Aust-Agder,448
R06,2004,30 - 34,Kvinne,Buskerud,1184
R06,2004,30 - 34,Kvinne,Finnmark,358
R06,2004,30 - 34,Kvinne,Hedmark,748
R06,2004,30 - 34,Kvinne,Hordaland,1897
R06,2004,30 - 34,Kvinne,Møre og Romsdal,940
R06,2004,30 - 34,Kvinne,Nordland,925
R06,2004,30 - 34,Kvinne,Oppland,689
R06,2004,30 - 34,Kvinne,Oslo,3709
R06,2004,30 - 34,Kvinne,Rogaland,1626
R06,2004,30 - 34,Kvinne,Sogn og Fjordane,379
R06,2004,30 - 34,Kvinne,Telemark,664
R06,2004,30 - 34,Kvinne,Troms,553
R06,2004,30 - 34,Kvinne,Trøndelag,1597
R06,2004,30 - 34,Kvinne,Vest-Agder,759
R06,2004,30 - 34,Kvinne,Vestfold,1028
R06,2004,30 - 34,Kvinne,Østfold,1151
R06,2004,30 - 34,Mann,Hele landet,15139
R06,2004,30 - 34,Mann,Helseregion Midt-Norge,1849
R06,2004,30 - 34,Mann,Helseregion Nord-Norge,1241
R06,2004,30 - 34,Mann,Helseregion Sør-Øst,9243
R06,2004,30 - 34,Mann,Helseregion Vest,2806
R06,2004,30 - 34,Mann,Akershus,1743
R06,2004,30 - 34,Mann,Aust-Agder,289
R06,2004,30 - 34,Mann,Buskerud,849
R06,2004,30 - 34,Mann,Finnmark,212
R06,2004,30 - 34,Mann,Hedmark,529
R06,2004,30 - 34,Mann,Hordaland,1408
R06,2004,30 - 34,Mann,Møre og Romsdal,712
